variable,type,definition,category
cosine_fede_corp_specialized,"float [0,1]","Cosine similarity between federal/public lab-sector and corporate (private-sector non-univ/lab/gov/staffing)-sector skill-frequency vectors over specialized skills only; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
cosine_fede_corp_software,"float [0,1]","Cosine similarity between federal/public lab-sector and corporate (private-sector non-univ/lab/gov/staffing)-sector skill-frequency vectors over software skills only; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
cosine_fede_corp_common,"float [0,1]","Cosine similarity between federal/public lab-sector and corporate (private-sector non-univ/lab/gov/staffing)-sector skill-frequency vectors over common-soft skills only; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
jaccard_fede_corp,"float [0,1]","Jaccard index over the federal/public lab-RCA>1 and corporate (private-sector non-univ/lab/gov/staffing)-RCA>1 skill sets restricted to all skills (specialized + software + common): |intersection| / |union|; range [0,1]; higher = greater overlap in what each entity type specializes in.",J. Employer-pair skill similarity
jaccard_fede_corp_specialized,"float [0,1]","Jaccard index over the federal/public lab-RCA>1 and corporate (private-sector non-univ/lab/gov/staffing)-RCA>1 skill sets restricted to specialized skills only: |intersection| / |union|; range [0,1]; higher = greater overlap in what each entity type specializes in.",J. Employer-pair skill similarity
jaccard_fede_corp_software,"float [0,1]","Jaccard index over the federal/public lab-RCA>1 and corporate (private-sector non-univ/lab/gov/staffing)-RCA>1 skill sets restricted to software skills only: |intersection| / |union|; range [0,1]; higher = greater overlap in what each entity type specializes in.",J. Employer-pair skill similarity
jaccard_fede_corp_common,"float [0,1]","Jaccard index over the federal/public lab-RCA>1 and corporate (private-sector non-univ/lab/gov/staffing)-RCA>1 skill sets restricted to common-soft skills only: |intersection| / |union|; range [0,1]; higher = greater overlap in what each entity type specializes in.",J. Employer-pair skill similarity
hidalgo_fede_corp,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between federal/public lab-RCA>1 and corporate (private-sector non-univ/lab/gov/staffing)-RCA>1 skills over all skills (specialized + software + common), using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
hidalgo_fede_corp_specialized,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between federal/public lab-RCA>1 and corporate (private-sector non-univ/lab/gov/staffing)-RCA>1 skills over specialized skills only, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
hidalgo_fede_corp_software,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between federal/public lab-RCA>1 and corporate (private-sector non-univ/lab/gov/staffing)-RCA>1 skills over software skills only, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
hidalgo_fede_corp_common,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between federal/public lab-RCA>1 and corporate (private-sector non-univ/lab/gov/staffing)-RCA>1 skills over common-soft skills only, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
rca_overlap_fede_corp,float (non-negative),Weighted RCA overlap: average corporate (private-sector non-univ/lab/gov/staffing)-sector RCA value across the federal/public lab-sector RCA>1 skill set over all skills (specialized + software + common); higher values indicate the federal/public lab sector demands skills that the corporate (private-sector non-univ/lab/gov/staffing) sector already specializes in.,J. Employer-pair skill similarity
rca_overlap_fede_corp_specialized,float (non-negative),Weighted RCA overlap: average corporate (private-sector non-univ/lab/gov/staffing)-sector RCA value across the federal/public lab-sector RCA>1 skill set over specialized skills only; higher values indicate the federal/public lab sector demands skills that the corporate (private-sector non-univ/lab/gov/staffing) sector already specializes in.,J. Employer-pair skill similarity
rca_overlap_fede_corp_software,float (non-negative),Weighted RCA overlap: average corporate (private-sector non-univ/lab/gov/staffing)-sector RCA value across the federal/public lab-sector RCA>1 skill set over software skills only; higher values indicate the federal/public lab sector demands skills that the corporate (private-sector non-univ/lab/gov/staffing) sector already specializes in.,J. Employer-pair skill similarity
rca_overlap_fede_corp_common,float (non-negative),Weighted RCA overlap: average corporate (private-sector non-univ/lab/gov/staffing)-sector RCA value across the federal/public lab-sector RCA>1 skill set over common-soft skills only; higher values indicate the federal/public lab sector demands skills that the corporate (private-sector non-univ/lab/gov/staffing) sector already specializes in.,J. Employer-pair skill similarity
gap_count_fede_corp,int,Directional skill-gap count: number of federal/public lab-RCA>1 skills for which the corporate (private-sector non-univ/lab/gov/staffing) sector does NOT have RCA>1 over all skills (specialized + software + common); an inventory of the federal/public lab sector's specializations that the corporate (private-sector non-univ/lab/gov/staffing) sector lacks.,J. Employer-pair skill similarity
gap_count_fede_corp_specialized,int,Directional skill-gap count: number of federal/public lab-RCA>1 skills for which the corporate (private-sector non-univ/lab/gov/staffing) sector does NOT have RCA>1 over specialized skills only; an inventory of the federal/public lab sector's specializations that the corporate (private-sector non-univ/lab/gov/staffing) sector lacks.,J. Employer-pair skill similarity
gap_count_fede_corp_software,int,Directional skill-gap count: number of federal/public lab-RCA>1 skills for which the corporate (private-sector non-univ/lab/gov/staffing) sector does NOT have RCA>1 over software skills only; an inventory of the federal/public lab sector's specializations that the corporate (private-sector non-univ/lab/gov/staffing) sector lacks.,J. Employer-pair skill similarity
gap_count_fede_corp_common,int,Directional skill-gap count: number of federal/public lab-RCA>1 skills for which the corporate (private-sector non-univ/lab/gov/staffing) sector does NOT have RCA>1 over common-soft skills only; an inventory of the federal/public lab sector's specializations that the corporate (private-sector non-univ/lab/gov/staffing) sector lacks.,J. Employer-pair skill similarity
gap_relatedness_fede_corp,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between the gap skills (defined in gap_count) and the corporate (private-sector non-univ/lab/gov/staffing)-sector's RCA>1 portfolio over all skills (specialized + software + common); range [0,1]; how close the federal/public lab-only skills are to the corporate (private-sector non-univ/lab/gov/staffing) sector's current strengths.",J. Employer-pair skill similarity
gap_relatedness_fede_corp_specialized,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between the gap skills (defined in gap_count) and the corporate (private-sector non-univ/lab/gov/staffing)-sector's RCA>1 portfolio over specialized skills only; range [0,1]; how close the federal/public lab-only skills are to the corporate (private-sector non-univ/lab/gov/staffing) sector's current strengths.",J. Employer-pair skill similarity
gap_relatedness_fede_corp_software,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between the gap skills (defined in gap_count) and the corporate (private-sector non-univ/lab/gov/staffing)-sector's RCA>1 portfolio over software skills only; range [0,1]; how close the federal/public lab-only skills are to the corporate (private-sector non-univ/lab/gov/staffing) sector's current strengths.",J. Employer-pair skill similarity
gap_relatedness_fede_corp_common,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between the gap skills (defined in gap_count) and the corporate (private-sector non-univ/lab/gov/staffing)-sector's RCA>1 portfolio over common-soft skills only; range [0,1]; how close the federal/public lab-only skills are to the corporate (private-sector non-univ/lab/gov/staffing) sector's current strengths.",J. Employer-pair skill similarity
cosine_gove_corp,"float [0,1]","Cosine similarity between government-sector and corporate (private-sector)-sector skill-frequency vectors over all skills; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
cosine_gove_corp_specialized,"float [0,1]","Cosine similarity between government-sector and corporate (private-sector)-sector skill-frequency vectors over specialized skills only; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
cosine_gove_corp_software,"float [0,1]","Cosine similarity between government-sector and corporate (private-sector)-sector skill-frequency vectors over software skills only; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
cosine_gove_corp_common,"float [0,1]","Cosine similarity between government-sector and corporate (private-sector)-sector skill-frequency vectors over common skills only; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
jaccard_gove_corp,"float [0,1]","Jaccard index over the government-RCA>1 and corporate (private-sector)-RCA>1 skill sets over all skills: |intersection| / |union|; range [0,1]; higher = greater overlap.",J. Employer-pair skill similarity
jaccard_gove_corp_specialized,"float [0,1]","Jaccard index over the government-RCA>1 and corporate (private-sector)-RCA>1 skill sets over specialized skills only: |intersection| / |union|; range [0,1]; higher = greater overlap.",J. Employer-pair skill similarity
jaccard_gove_corp_software,"float [0,1]","Jaccard index over the government-RCA>1 and corporate (private-sector)-RCA>1 skill sets over software skills only: |intersection| / |union|; range [0,1]; higher = greater overlap.",J. Employer-pair skill similarity
jaccard_gove_corp_common,"float [0,1]","Jaccard index over the government-RCA>1 and corporate (private-sector)-RCA>1 skill sets over common skills only: |intersection| / |union|; range [0,1]; higher = greater overlap.",J. Employer-pair skill similarity
hidalgo_gove_corp,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between government-RCA>1 and corporate (private-sector)-RCA>1 skills over all skills, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
hidalgo_gove_corp_specialized,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between government-RCA>1 and corporate (private-sector)-RCA>1 skills over specialized skills only, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
hidalgo_gove_corp_software,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between government-RCA>1 and corporate (private-sector)-RCA>1 skills over software skills only, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
hidalgo_gove_corp_common,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between government-RCA>1 and corporate (private-sector)-RCA>1 skills over common skills only, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
rca_overlap_gove_corp,float,Weighted RCA overlap: average corporate (private-sector)-sector RCA across the government-sector RCA>1 skill set over all skills; higher values indicate the government sector demands skills that the corporate (private-sector) sector already specializes in.,J. Employer-pair skill similarity
rca_overlap_gove_corp_specialized,float,Weighted RCA overlap: average corporate (private-sector)-sector RCA across the government-sector RCA>1 skill set over specialized skills only; higher values indicate the government sector demands skills that the corporate (private-sector) sector already specializes in.,J. Employer-pair skill similarity
rca_overlap_gove_corp_software,float,Weighted RCA overlap: average corporate (private-sector)-sector RCA across the government-sector RCA>1 skill set over software skills only; higher values indicate the government sector demands skills that the corporate (private-sector) sector already specializes in.,J. Employer-pair skill similarity
rca_overlap_gove_corp_common,float,Weighted RCA overlap: average corporate (private-sector)-sector RCA across the government-sector RCA>1 skill set over common skills only; higher values indicate the government sector demands skills that the corporate (private-sector) sector already specializes in.,J. Employer-pair skill similarity
gap_count_gove_corp,int,Directional skill-gap count: number of government-RCA>1 skills for which the corporate (private-sector) sector does NOT have RCA>1 over all skills; inventory of the government sector's specializations that the corporate (private-sector) sector lacks.,J. Employer-pair skill similarity
gap_count_gove_corp_specialized,int,Directional skill-gap count: number of government-RCA>1 skills for which the corporate (private-sector) sector does NOT have RCA>1 over specialized skills only; inventory of the government sector's specializations that the corporate (private-sector) sector lacks.,J. Employer-pair skill similarity
gap_count_gove_corp_software,int,Directional skill-gap count: number of government-RCA>1 skills for which the corporate (private-sector) sector does NOT have RCA>1 over software skills only; inventory of the government sector's specializations that the corporate (private-sector) sector lacks.,J. Employer-pair skill similarity
gap_count_gove_corp_common,int,Directional skill-gap count: number of government-RCA>1 skills for which the corporate (private-sector) sector does NOT have RCA>1 over common skills only; inventory of the government sector's specializations that the corporate (private-sector) sector lacks.,J. Employer-pair skill similarity
gap_relatedness_gove_corp,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between gap skills and the corporate (private-sector)-sector's RCA>1 portfolio over all skills; range [0,1].",J. Employer-pair skill similarity
gap_relatedness_gove_corp_specialized,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between gap skills and the corporate (private-sector)-sector's RCA>1 portfolio over specialized skills only; range [0,1].",J. Employer-pair skill similarity
gap_relatedness_gove_corp_software,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between gap skills and the corporate (private-sector)-sector's RCA>1 portfolio over software skills only; range [0,1].",J. Employer-pair skill similarity
gap_relatedness_gove_corp_common,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between gap skills and the corporate (private-sector)-sector's RCA>1 portfolio over common skills only; range [0,1].",J. Employer-pair skill similarity
cosine_univ_fede,"float [0,1]","Cosine similarity between university-sector and federal/public lab-sector skill-frequency vectors over all skills (specialized + software + common); range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
cosine_univ_fede_specialized,"float [0,1]","Cosine similarity between university-sector and federal/public lab-sector skill-frequency vectors over specialized skills only; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
cosine_univ_fede_software,"float [0,1]","Cosine similarity between university-sector and federal/public lab-sector skill-frequency vectors over software skills only; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
cosine_univ_fede_common,"float [0,1]","Cosine similarity between university-sector and federal/public lab-sector skill-frequency vectors over common-soft skills only; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
jaccard_univ_fede,"float [0,1]","Jaccard index over the university-RCA>1 and federal/public lab-RCA>1 skill sets restricted to all skills (specialized + software + common): |intersection| / |union|; range [0,1]; higher = greater overlap in what each entity type specializes in.",J. Employer-pair skill similarity
jaccard_univ_fede_specialized,"float [0,1]","Jaccard index over the university-RCA>1 and federal/public lab-RCA>1 skill sets restricted to specialized skills only: |intersection| / |union|; range [0,1]; higher = greater overlap in what each entity type specializes in.",J. Employer-pair skill similarity
jaccard_univ_fede_software,"float [0,1]","Jaccard index over the university-RCA>1 and federal/public lab-RCA>1 skill sets restricted to software skills only: |intersection| / |union|; range [0,1]; higher = greater overlap in what each entity type specializes in.",J. Employer-pair skill similarity
jaccard_univ_fede_common,"float [0,1]","Jaccard index over the university-RCA>1 and federal/public lab-RCA>1 skill sets restricted to common-soft skills only: |intersection| / |union|; range [0,1]; higher = greater overlap in what each entity type specializes in.",J. Employer-pair skill similarity
hidalgo_univ_fede,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between university-RCA>1 and federal/public lab-RCA>1 skills over all skills (specialized + software + common), using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
hidalgo_univ_fede_specialized,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between university-RCA>1 and federal/public lab-RCA>1 skills over specialized skills only, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
hidalgo_univ_fede_software,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between university-RCA>1 and federal/public lab-RCA>1 skills over software skills only, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
hidalgo_univ_fede_common,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between university-RCA>1 and federal/public lab-RCA>1 skills over common-soft skills only, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
rca_overlap_univ_fede,float (non-negative),Weighted RCA overlap: average federal/public lab-sector RCA value across the university-sector RCA>1 skill set over all skills (specialized + software + common); higher values indicate the university sector demands skills that the federal/public lab sector already specializes in.,J. Employer-pair skill similarity
rca_overlap_univ_fede_specialized,float (non-negative),Weighted RCA overlap: average federal/public lab-sector RCA value across the university-sector RCA>1 skill set over specialized skills only; higher values indicate the university sector demands skills that the federal/public lab sector already specializes in.,J. Employer-pair skill similarity
rca_overlap_univ_fede_software,float (non-negative),Weighted RCA overlap: average federal/public lab-sector RCA value across the university-sector RCA>1 skill set over software skills only; higher values indicate the university sector demands skills that the federal/public lab sector already specializes in.,J. Employer-pair skill similarity
rca_overlap_univ_fede_common,float (non-negative),Weighted RCA overlap: average federal/public lab-sector RCA value across the university-sector RCA>1 skill set over common-soft skills only; higher values indicate the university sector demands skills that the federal/public lab sector already specializes in.,J. Employer-pair skill similarity
gap_count_univ_fede,int,Directional skill-gap count: number of university-RCA>1 skills for which the federal/public lab sector does NOT have RCA>1 over all skills (specialized + software + common); an inventory of the university sector's specializations that the federal/public lab sector lacks.,J. Employer-pair skill similarity
gap_count_univ_fede_specialized,int,Directional skill-gap count: number of university-RCA>1 skills for which the federal/public lab sector does NOT have RCA>1 over specialized skills only; an inventory of the university sector's specializations that the federal/public lab sector lacks.,J. Employer-pair skill similarity
